GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.genetics,Chromosome,2,56,1,7,1,14,2,8,1,5
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.genetics,BinaryMutation,7,41,1,3,1,8,1,3,0,2
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.genetics,ElitisticListPopulation,23,64,4,2,4,15,3,5,1,4
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.genetics,RandomKey,32,305,3,29,4,62,4,24,1,11
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.genetics,AbstractListChromosome,16,25,0,0,1,8,1,4,1,4
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.genetics,FixedGenerationCount,12,26,1,3,2,9,2,3,1,2
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.genetics,BinaryChromosome,2,96,1,15,1,21,1,12,0,5
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.genetics,ChromosomePair,15,15,0,0,1,6,1,3,1,3
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.genetics,RandomKeyMutation,13,33,1,1,2,8,1,2,0,2
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.genetics,InvalidRepresentationException,0,5,0,0,0,2,0,1,0,1
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.genetics,OnePointCrossover,14,97,3,7,2,18,3,5,0,3
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.genetics,GeneticAlgorithm,25,149,6,12,6,38,7,14,1,11
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.genetics,TournamentSelection,26,62,1,3,5,13,3,4,2,3
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.genetics,TournamentSelection.new ListPopulation() {...},2,7,0,0,1,2,1,1,1,1
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.genetics,ListPopulation,37,75,3,7,9,22,6,10,3,8
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.stat,StatUtils,20,343,1,15,3,65,3,36,2,29
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.stat,Frequency,32,421,9,35,11,107,8,43,1,28
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.stat,Frequency.NaturalComparator,0,4,0,0,0,1,0,1,0,1
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.stat.regression,GLSMultipleLinearRegression,21,95,0,2,3,21,1,7,1,6
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.stat.regression,RegressionResults,173,314,28,30,35,61,28,18,4,13
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.stat.regression,SimpleRegression,512,891,62,54,76,147,45,44,4,27
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.stat.regression,MillerUpdatingRegression,585,2529,66,208,113,448,57,104,2,22
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.stat.regression,OLSMultipleLinearRegression,0,212,0,12,0,40,0,17,0,11
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.stat.regression,ModelSpecificationException,0,5,0,0,0,2,0,1,0,1
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.stat.regression,AbstractMultipleLinearRegression,38,392,6,42,6,80,7,37,1,19
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.optimization.univariate,BaseAbstractUnivariateOptimizer,8,94,2,2,2,26,2,11,0,11
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.optimization.univariate,UnivariateMultiStartOptimizer.new Comparator() {...},6,33,3,5,1,9,3,3,0,2
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.optimization.univariate,UnivariateMultiStartOptimizer,24,134,4,10,5,28,6,9,2,6
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.optimization.univariate,BrentOptimizer,27,415,6,58,6,119,5,31,0,4
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.optimization.univariate,UnivariatePointValuePair,0,15,0,0,0,6,0,3,0,3
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.optimization.univariate,BracketFinder,80,324,16,30,19,81,17,18,5,7
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.geometry.euclidean.threed,PolyhedronsSet,147,152,27,1,44,20,18,7,4,7
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.geometry.euclidean.threed,Vector3DFormat,18,90,1,3,6,18,3,8,2,7
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.geometry.euclidean.threed,SubLine,0,141,0,12,0,24,0,12,0,6
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.geometry.euclidean.threed,NotARotationMatrixException,0,5,0,0,0,2,0,1,0,1
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.geometry.euclidean.threed,SubPlane,0,237,2,16,0,49,2,11,0,4
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.geometry.euclidean.threed,Vector3D,63,927,17,33,10,134,18,54,6,41
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.geometry.euclidean.threed,Line,35,231,4,12,8,36,7,18,3,14
"commons-math3 (Apr 3, 2019 11:47:18 PM)/commons-math3/src/main/java",org.apache.commons.math3.geometry.euclidean.threed,PolyhedronsSet.FacetsContributionVisitor,17,86,4,4,5,22,4,5,0,5
