GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math.stat.clustering,EuclideanIntegerPoint,35,104,4,12,6,19,4,10,1,5
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math.stat.clustering,Cluster,0,23,0,0,0,8,0,4,0,4
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math.stat.clustering,KMeansPlusPlusClusterer,4,227,3,21,1,50,3,14,0,5
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new ArithmeticException() {...},7,10,0,0,1,2,1,1,1,1
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math,DuplicateSampleAbscissaException,0,28,0,0,0,4,0,2,0,2
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math,ArgumentOutsideDomainException,0,22,0,0,0,3,0,1,0,1
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new RuntimeException() {...},14,0,0,0,3,0,2,0,2,0
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new NullPointerException() {...},7,10,0,0,1,2,1,1,1,1
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math,MaxEvaluationsExceededException,11,14,0,0,4,3,2,1,2,1
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math,FunctionEvaluationException,0,111,0,0,0,25,0,9,0,9
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math,ConvergenceException,0,21,0,0,0,8,0,4,0,4
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math,MessagesResources_fr,0,3040,0,0,0,471,0,3,0,3
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math,MathException,10,127,3,5,2,32,4,12,1,11
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math,MaxIterationsExceededException,0,25,0,0,0,7,0,3,0,3
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math,MathConfigurationException,0,18,0,0,0,8,0,4,0,4
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math,ConvergingAlgorithmImpl,0,64,0,0,0,25,0,11,0,11
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math,DimensionMismatchException,0,28,0,0,0,6,0,3,0,3
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new NoSuchElementException() {...},7,10,0,0,1,2,1,1,1,1
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new EOFException() {...},7,10,0,0,1,2,1,1,1,1
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new ArrayIndexOutOfBoundsException() {...},7,10,0,0,1,2,1,1,1,1
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException,112,147,6,2,25,23,13,14,9,14
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new IllegalArgumentException() {...},7,10,0,0,1,2,1,1,1,1
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new IllegalStateException() {...},7,10,0,0,1,2,1,1,1,1
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new ParseException() {...},7,11,0,0,1,2,1,1,1,1
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new ConcurrentModificationException() {...},7,10,0,0,1,2,1,1,1,1
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math.analysis.integration,SimpsonIntegrator,43,114,3,9,7,29,5,6,2,3
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math.analysis.integration,UnivariateRealIntegratorImpl,49,87,5,5,15,26,7,8,4,6
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math.analysis.integration,LegendreGaussIntegrator,33,456,3,12,5,78,4,10,1,4
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math.analysis.integration,TrapezoidIntegrator,18,169,2,12,4,36,4,9,2,4
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math.analysis.integration,RombergIntegrator,18,175,2,10,4,31,4,7,2,3
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math.optimization.fitting,HarmonicCoefficientsGuesser,7,373,2,16,1,80,2,15,0,8
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math.optimization.fitting,HarmonicFunction,15,33,0,0,1,9,1,5,1,5
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math.optimization.fitting,CurveFitter.TheoreticalValuesFunction,0,47,0,2,0,9,0,4,0,3
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math.optimization.fitting,CurveFitter,12,81,0,2,4,17,2,5,2,4
"commons-math (Apr 3, 2019 11:57:51 PM)/commons-math/src/main/java",org.apache.commons.math.optimization.fitting,PolynomialFitter,4,35,0,0,2,7,0,3,0,3
