GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-math (Apr 3, 2019 11:55:08 PM)/commons-math/src/main/java",org.apache.commons.math.stat.clustering,KMeansPlusPlusClusterer,2,229,2,22,0,51,2,15,0,5
"commons-math (Apr 3, 2019 11:55:08 PM)/commons-math/src/main/java",org.apache.commons.math.stat.clustering,EuclideanIntegerPoint,74,104,8,12,14,19,7,10,2,5
"commons-math (Apr 3, 2019 11:55:08 PM)/commons-math/src/main/java",org.apache.commons.math.stat.clustering,Cluster,0,23,0,0,0,8,0,4,0,4
"commons-math (Apr 3, 2019 11:55:08 PM)/commons-math/src/main/java",org.apache.commons.math,ArgumentOutsideDomainException,0,22,0,0,0,3,0,1,0,1
"commons-math (Apr 3, 2019 11:55:08 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new ArithmeticException() {...},14,9,0,0,2,2,2,1,2,1
"commons-math (Apr 3, 2019 11:55:08 PM)/commons-math/src/main/java",org.apache.commons.math,MathException,10,119,3,5,2,32,4,12,1,11
"commons-math (Apr 3, 2019 11:55:08 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new NullPointerException() {...},14,9,0,0,2,2,2,1,2,1
"commons-math (Apr 3, 2019 11:55:08 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new IllegalArgumentException() {...},14,9,0,0,2,2,2,1,2,1
"commons-math (Apr 3, 2019 11:55:08 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new NoSuchElementException() {...},14,9,0,0,2,2,2,1,2,1
"commons-math (Apr 3, 2019 11:55:08 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new EOFException() {...},14,9,0,0,2,2,2,1,2,1
"commons-math (Apr 3, 2019 11:55:08 PM)/commons-math/src/main/java",org.apache.commons.math,FunctionEvaluationException,0,111,0,0,0,25,0,9,0,9
"commons-math (Apr 3, 2019 11:55:08 PM)/commons-math/src/main/java",org.apache.commons.math,MathRuntimeException.new ParseException() {...},14,11,0,0,2,2,2,1,2,1
