GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-logging-code-coverage (Mar 26, 2019 9:51:59 PM)/commons-logging/src/main/java",org.apache.commons.logging.impl,NoOpLog,3,27,0,0,1,19,1,19,1,19
"commons-logging-code-coverage (Mar 26, 2019 9:51:59 PM)/commons-logging/src/main/java",org.apache.commons.logging.impl,LogFactoryImpl.new PrivilegedAction() {...},0,13,0,0,0,3,0,2,0,2
"commons-logging-code-coverage (Mar 26, 2019 9:51:59 PM)/commons-logging/src/main/java",org.apache.commons.logging.impl,WeakHashtable.Entry,51,29,18,2,11,8,12,4,2,4
"commons-logging-code-coverage (Mar 26, 2019 9:51:59 PM)/commons-logging/src/main/java",org.apache.commons.logging.impl,WeakHashtable,18,296,5,25,8,74,7,25,2,15
"commons-logging-code-coverage (Mar 26, 2019 9:51:59 PM)/commons-logging/src/main/java",org.apache.commons.logging.impl,WeakHashtable.Referenced,0,76,2,8,0,21,2,8,0,5
"commons-logging-code-coverage (Mar 26, 2019 9:51:59 PM)/commons-logging/src/main/java",org.apache.commons.logging.impl,WeakHashtable.new Enumeration() {...},0,21,0,0,0,5,0,3,0,3
"commons-logging-code-coverage (Mar 26, 2019 9:51:59 PM)/commons-logging/src/main/java",org.apache.commons.logging.impl,WeakHashtable.WeakKey,0,11,0,0,0,4,0,2,0,2
"commons-logging-code-coverage (Mar 26, 2019 9:51:59 PM)/commons-logging/src/main/java",org.apache.commons.logging.impl,LogFactoryImpl.new PrivilegedAction() {...},0,15,0,0,0,3,0,2,0,2
"commons-logging-code-coverage (Mar 26, 2019 9:51:59 PM)/commons-logging/src/main/java",org.apache.commons.logging.impl,LogKitLogger,0,161,1,23,0,53,1,31,0,20
"commons-logging-code-coverage (Mar 26, 2019 9:51:59 PM)/commons-logging/src/main/java",org.apache.commons.logging.impl,AvalonLogger,108,72,14,12,25,29,21,15,8,15
"commons-logging-code-coverage (Mar 26, 2019 9:51:59 PM)/commons-logging/src/main/java",org.apache.commons.logging.impl,SimpleLog.new PrivilegedAction() {...},4,15,1,1,1,5,1,2,0,2
"commons-logging-code-coverage (Mar 26, 2019 9:51:59 PM)/commons-logging/src/main/java",org.apache.commons.logging.impl,LogFactoryImpl.new PrivilegedAction() {...},0,5,0,0,0,3,0,2,0,2
"commons-logging-code-coverage (Mar 26, 2019 9:51:59 PM)/commons-logging/src/main/java",org.apache.commons.logging.impl,ServletContextCleaner,21,52,0,2,10,15,1,4,1,3
"commons-logging-code-coverage (Mar 26, 2019 9:51:59 PM)/commons-logging/src/main/java",org.apache.commons.logging.impl,Jdk13LumberjackLogger,281,0,12,0,76,0,29,0,23,0
"commons-logging-code-coverage (Mar 26, 2019 9:51:59 PM)/commons-logging/src/main/java",org.apache.commons.logging.impl,SimpleLog,132,441,35,44,34,122,33,39,1,29
"commons-logging-code-coverage (Mar 26, 2019 9:51:59 PM)/commons-logging/src/main/java",org.apache.commons.logging.impl,Jdk14Logger,193,0,10,0,54,0,27,0,22,0
"commons-logging-code-coverage (Mar 26, 2019 9:51:59 PM)/commons-logging/src/main/java",org.apache.commons.logging.impl,Log4JLogger,153,65,4,4,40,20,22,5,19,4
"commons-logging-code-coverage (Mar 26, 2019 9:51:59 PM)/commons-logging/src/main/java",org.apache.commons.logging.impl,LogFactoryImpl,924,538,113,59,228,159,86,35,12,23
"commons-logging-code-coverage (Mar 26, 2019 9:51:59 PM)/commons-logging/src/main/java",org.apache.commons.logging,LogSource,164,0,18,0,57,0,16,0,7,0
"commons-logging-code-coverage (Mar 26, 2019 9:51:59 PM)/commons-logging/src/main/java",org.apache.commons.logging,LogFactory.new PrivilegedAction() {...},0,15,0,0,0,3,0,2,0,2
"commons-logging-code-coverage (Mar 26, 2019 9:51:59 PM)/commons-logging/src/main/java",org.apache.commons.logging,LogFactory,993,351,148,52,290,131,102,30,8,24
